0me,Matches,Innings,Not_Outs,Runs,High_Score,Average,No_Of_100,No_Of_50,Strike_Rate,Catches_Taken,Stumpings,Runs/Innings,Rating,ScaledRating,LogRating
G S Sandhu,26,6,2,25,7,6.25,0,0,78.12,7,0,4.166666667,169.26,3.61,2.228554337
M Ntini,60,12,6,30,11,5,0,0,69.76,7,0,2.5,167.424,3.6,2.223817714
B E Hendricks,42,8,5,21,12,7,0,0,67.74,7,0,2.625,167.290704,3.6,2.223471809
P Singh,42,21,10,60,10,5.45,0,0,69.76,12,0,2.857142857,145.993728,3.48,2.164334199
H S Bansal,31,8,3,22,14,4.4,0,0,110,6,0,2.75,132.0352,3.39,2.120689728
S E Bond,40,14,6,32,8,4,0,0,103.22,9,0,2.285714286,120.7968914,3.32,2.082055758
C Ga0pathy,25,11,2,37,15,4.11,0,0,94.87,12,0,3.363636364,104.9227702,3.2,2.020869748
A Uniyal,4,3,2,18,14,18,0,0,75,0,0,6,103.68,3.19,2.015694989
T Shamsi,48,13,8,27,7,5.4,0,0,56.25,6,0,2.076923077,96.90092308,3.14,1.986327914
P Parameswaran,34,10,8,15,13,7.5,0,0,75,5,0,1.5,91.8,3.1,1.962842681
T A Boult,52,14,7,29,5,4.14,0,0,61.7,24,0,2.071428571,88.04582948,3.06,1.944708789
P D Vijaykumar,18,6,4,12,6,6,0,0,120,1,0,2,82.944,3.02,1.918784976
R S Sodhi,14,10,1,45,12,5,0,0,81.81,5,0,4.5,82.46448,3.01,1.916266925
Mohammad Asif,35,7,4,13,5,4.33,0,0,86.66,8,0,1.857142857,78.0494624,2.97,1.892369916
P Awa0,61,13,8,22,8,4.4,0,0,51.16,10,0,1.692307692,74.36050905,2.94,1.871342354
R R Raje,28,13,6,27,11,3.85,0,0,96.42,14,0,2.076923077,69.08062818,2.88,1.839356278
Mohammed Shami,50,13,7,22,5,3.66,0,0,62.85,11,0,1.692307692,62.28531692,2.81,1.794385679
S Sharma,8,4,1,17,12,5.66,0,0,94.44,4,0,4.25,58.15690752,2.76,1.764601305
K R Upadhyay,21,10,6,19,11,4.75,0,0,79.16,7,0,1.9,48.0089568,2.63,1.681322269
R R Bose,11,3,1,7,7,3.5,0,0,140,0,0,2.333333333,40.24533333,2.52,1.604715529
R M Yadav,8,4,0,19,8,4.75,0,0,63.33,6,4,4.75,36.579408,2.46,1.563236673
M M Rahman,39,6,2,9,6,2.25,0,0,69.23,8,0,1.5,29.159676,2.32,1.464782694
V S Yeligati,4,2,1,6,4,6,0,0,120,1,0,3,27.648,2.29,1.441663721
R G More,11,4,2,10,4,5,0,0,62.5,3,0,2.5,27.5,2.29,1.439332694
S Tyagi,23,5,4,5,3,5,0,0,71.42,5,0,1,26.28256,2.26,1.419667665
T K Patel,6,4,2,11,8,5.5,0,0,78.57,3,0,2.75,22.816728,2.19,1.358253365
M B Parmar,7,5,2,12,7,4,0,0,100,1,0,2.4,21.504,2.15,1.332519251
X T Sargu0m,1,1,0,10,10,10,0,0,58.82,0,0,10,18.8224,2.08,1.274674999
A Singh,30,8,2,13,5,2.16,0,0,54.16,3,0,1.625,18.2497536,2.07,1.261257005
D L Chahar,11,7,2,14,6,2.8,0,0,87.5,5,0,2,17.248,2.04,1.236738744
G D McGrath,19,5,2,9,5,3,0,0,50,5,0,1.8,16.416,2.01,1.215267343
D J Muthuswami,22,7,4,9,4,3,0,0,60,5,0,1.285714286,16.29257143,2.01,1.211989634
S J Srivastava,22,7,4,6,3,2,0,0,85.71,6,0,0.857142857,10.34397257,1.79,1.01468736
N D Doshi,52,10,5,10,5,2,0,0,29.41,12,0,1,9.787648,1.77,0.990678342
S S Ladda,13,3,1,5,5,2.5,0,0,41.66,1,0,1.666666667,7.221066667,1.64,0.858601355
R V Pawar,8,4,1,7,3,2.33,0,0,50,1,0,1.75,5.2192,1.51,0.717603939
D Kalyankrish0,12,8,3,10,5,2,0,0,50,3,0,1.25,4.8,1.48,0.681241237
M Ashwin,16,3,1,3,3,1.5,0,0,50,1,0,1,3.84,1.4,0.584331224
R Ni0n,2,1,0,3,3,3,0,0,50,1,0,3,2.88,1.3,0.459392488
P Amar0th,14,4,3,1,1,1,0,0,33.33,4,0,0.25,0.373296,0.78,-0.427946664
V P Singh,14,2,0,1,1,0.5,0,0,33.33,3,0,0.5,0.373296,0.78,-0.427946664
S M S Ahmed,8,3,1,1,1,0.5,0,0,16.66,4,0,0.333333333,0.071082667,0.52,-1.148236288
A M Salvi,19,2,2,16,10,0,0,0,69.56,5,0,8,0,0,0
H S Baddhan,1,0,0,0,0,0,0,0,0,0,0,#VALUE!,0,0,0
I H Chaudhary,7,2,2,2,1,0,0,0,33.33,0,0,1,0,0,0
A A Kazi,4,2,2,13,12,0,0,0,144.44,0,0,6.5,0,0,0
A Rajpoot,23,3,3,2,2,0,0,0,28.57,1,0,0.666666667,0,0,0
L Ablash,22,4,4,6,4,0,0,0,50,1,0,1.5,0,0,0
P M S Kumar,2,1,1,1,1,0,0,0,50,0,0,1,0,0,0
P Suyal,17,2,1,0,0,0,0,0,0,1,0,0,0,0,0
R A Shaikh,1,0,0,0,0,0,0,0,0,0,0,#VALUE!,0,0,0
S Kaushik,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0
S S Sarkar,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
