0me,Matches,Innings,Not_Outs,Runs,High_Score,Average,No_Of_100,No_Of_50,Strike_Rate,Catches_Taken,Stumpings,Runs/Innings,Rating,ScaledRating,LogRating
H M Amla,94,93,9,2603,97,30.98,0,17,126.29,29,0,27.98924731,32939.68397,13.47,4.517719428
A T Rayudu,157,147,21,3135,81,24.88,0,17,122.89,66,3,21.32653061,32759.46204,13.45,4.515336761
S S Tiwary,119,102,27,2273,69,30.3,0,10,121.87,45,0,22.28431373,31335.42889,13.3,4.496035643
C Munro,112,99,19,2118,89,26.47,0,10,145.56,30,0,21.39393939,29543.01061,13.11,4.47045475
M K Tiwary,124,109,28,2399,75,29.61,0,11,113.32,65,0,22.00917431,29303.56014,13.08,4.466920387
S A Hasan,196,180,29,3133,86,20.74,0,13,123.98,56,0,17.40555556,28070.76985,12.94,4.448254324
R Dravid,109,101,7,2586,75,27.51,0,13,113.87,23,0,25.6039604,27975.86568,12.93,4.446783534
S Badri0th,137,105,29,2132,71,28.05,0,13,111.5,27,0,20.3047619,27840.44545,12.92,4.44467618
P A Patel,156,153,11,3173,82,22.34,0,17,120,91,23,20.73856209,27753.49188,12.91,4.443317633
A D Mathews,141,120,34,2266,81,26.34,0,8,121.82,51,0,18.88333333,27338.96797,12.86,4.436782116
F Behardien,118,97,32,1888,72,29.04,0,6,123.56,46,0,19.46391753,26371.61659,12.74,4.421136753
C A Ingram,108,105,10,2433,96,25.61,0,14,128.52,36,0,23.17142857,26357.65924,12.74,4.420906839
M L Hayden,50,50,5,1632,93,36.26,0,13,136.91,18,0,32.64,25925.85591,12.69,4.413733103
M C Henriques,134,118,25,2292,77,24.64,0,8,123.89,62,0,19.42372881,25425.19773,12.63,4.405264339
A B McDo0ld,93,81,26,1743,96,31.69,0,11,124.41,33,0,21.51851852,25247.75832,12.61,4.402222824
R R Rossouw,86,84,6,2089,78,26.78,0,12,129.91,35,0,24.86904762,23810.07366,12.42,4.376760739
D J G Sammy,202,169,48,2308,60,19.07,0,2,136.64,81,0,13.65680473,23002.70946,12.32,4.361778994
A C Blizzard,94,90,10,2023,89,25.28,0,10,133.26,26,0,22.47777778,22777.60639,12.29,4.357508084
M Y Khan,83,78,17,1864,71,30.55,0,10,117.3,34,0,23.8974359,22745.13939,12.28,4.356888603
R A Jadeja,181,129,39,1887,48,20.96,0,0,121.66,63,0,14.62790698,21604.77926,12.12,4.334549834
T R Birt,109,105,9,2188,94,22.79,0,9,129.08,41,0,20.83809524,21381.48067,12.09,4.330037777
I K Pathan,163,127,49,1796,60,23.02,0,1,123.35,40,0,14.14173228,20945.2075,12.03,4.321084667
J M Kemp,101,80,29,1451,89,28.45,0,4,124.44,47,0,18.1375,20753.48573,12,4.317091051
M Singh,99,87,14,1837,77,25.16,0,8,122.79,39,0,21.11494253,20665.63301,11.99,4.315248713
N L T Perera,169,139,41,1907,72,19.45,0,2,142.95,66,0,13.71942446,20628.91285,11.98,4.314476341
C H Morris,117,64,32,835,82,26.09,0,1,156.07,46,0,13.046875,19890.04891,11.88,4.298635851
S V Samson,91,86,10,1937,87,25.48,0,13,118.32,55,6,22.52325581,19773.34413,11.86,4.296080125
N V Ojha,141,130,19,2276,94,20.5,0,10,119.09,92,20,17.50769231,19285.33347,11.78,4.285227153
B J Rohrer,85,72,20,1396,64,26.84,0,3,133.33,26,0,19.38888889,18872.62091,11.72,4.275832217
C K Kapugedera,106,95,11,1811,96,21.55,0,6,131.23,44,1,19.06315789,18286.52112,11.63,4.262131092
R E van der Merwe,146,106,24,1604,89,19.56,0,8,127.5,54,0,15.13207547,17631.13895,11.52,4.246280368
D J Jacobs,83,80,14,1709,74,25.89,0,8,117.69,39,8,21.3625,17288.27888,11.47,4.23775176
M V Boucher,90,76,27,1378,60,28.12,0,4,115.5,48,16,18.13157895,16959.98304,11.41,4.229425414
J Botha,184,134,45,1747,67,19.62,0,2,112.13,80,0,13.03731343,16887.94217,11.4,4.227576733
B M A J Mendis,111,94,19,1658,67,22.1,0,2,121.46,32,0,17.63829787,16817.25774,11.39,4.22575518
Harbhajan Singh,209,125,44,1341,78,16.55,0,2,138.81,64,0,10.728,16482.90599,11.33,4.217033782
A P Tare,65,57,9,1278,71,26.62,0,6,127.29,17,15,22.42105263,15802.34979,11.21,4.198721671
S C Ganguly,77,73,4,1726,91,25.01,0,8,107,28,0,23.64383562,15590.35858,11.17,4.192856104
E R Dwivedi,40,32,11,789,89,37.57,0,3,131.28,21,8,24.65625,15565.99038,11.17,4.192176758
J P Faulkner,132,98,42,1258,73,22.46,0,1,127.71,40,0,12.83673469,15552.96275,11.17,4.191813132
P D Collingwood,119,104,10,1820,79,19.36,0,7,120.37,36,0,17.5,15529.54036,11.16,4.191158602
J R Hopes,93,79,14,1468,71,22.58,0,10,124.09,22,0,18.58227848,15495.03685,11.16,4.190192613
B J Haddin,78,73,12,1468,76,24.06,0,9,125.14,49,17,20.10958904,15112.61261,11.09,4.17933955
M Vohra,57,55,4,1349,77,26.45,0,6,126.78,21,0,24.52727273,15002.04687,11.07,4.176150518
Y V Rao,83,71,12,1390,71,23.55,0,7,121.71,16,0,19.57746479,14903.96068,11.05,4.173301696
K L Rahul,53,44,8,1050,68,29.16,0,7,123.09,19,4,23.86363636,14526.89381,10.98,4.162172762
K M Jadhav,81,74,22,1248,63,24,0,6,138.35,30,4,16.86486486,14514.70682,10.98,4.161808268
D Wiese,119,81,33,990,71,20.62,0,3,150.91,37,0,12.22222222,14482.84209,10.97,4.160853796
